,State,RegionName
502,WV,West Liberty 
503,WI,Appleton 
504,WI,Eau Claire 
505,WI,Green Bay 
506,WI,La Crosse 
507,WI,Madison 
508,WI,Menomonie 
509,WI,Milwaukee 
510,WI,Oshkosh 
511,WI,Platteville 
512,WI,River Falls 
513,WI,Stevens Point 
514,WI,Waukesha 
515,WI,Whitewater 
516,WY,Laramie 
